hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY,postTime
1845355035,"39.91576,116.509262",238,http://bj.xiaozhu.com/fangzi/1845355035.html,单间出租,1,朝阳四惠东通惠家园,356954200,http://www.xiaozhu.com/fangdong/356954200/,1,36,3室1厅1卫0厨1阳台,3,1,1,0,1,2,4,可能与其他房客分住不同房间,1,bj,
5215614014,"40.0449,116.425389",237,http://bj.xiaozhu.com/fangzi/5215614014.html,整租,0,朝阳双营路美立方小区,708321838,http://www.xiaozhu.com/fangdong/708321838/,2,38,1室1厅1卫0厨0阳台,1,1,1,0,0,2,5,房客独享整套房屋,1,bj,
1968770370,"39.975262,116.419226",238,http://bj.xiaozhu.com/fangzi/1968770370.html,单间出租,2,朝阳安贞桥胜古中路1号院3号楼,682002600,http://www.xiaozhu.com/fangdong/682002600/,1,10,4室1厅2卫1厨2阳台,4,1,2,1,2,3,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,2015-12-24
1968837170,"39.975262,116.419226",238,http://bj.xiaozhu.com/fangzi/1968837170.html,单间出租,0,朝阳安贞桥胜古中路1号院3号楼,682002600,http://www.xiaozhu.com/fangdong/682002600/,1,10,4室1厅2卫1厨2阳台,4,1,2,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,2015-12-24
4178651729,"39.675595,116.32604",238,http://bj.xiaozhu.com/fangzi/4178651729.html,整租,0,大兴天宫院地铁站,757883738,http://www.xiaozhu.com/fangdong/757883738/,2,46,1室0厅1卫1厨0阳台,1,0,1,1,0,4,5,房客独享整套房屋,2,bj,2016-08-30
634729201,"39.903187,116.421631",238,http://bj.xiaozhu.com/fangzi/634729201.html,整租,1,东城东兴隆街,634528700,http://www.xiaozhu.com/fangdong/634528700/,2,32,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,bj,
1991699670,"39.901714,116.420578",238,http://bj.xiaozhu.com/fangzi/1991699670.html,整租,2,东城都市馨园2号楼,1957903971,http://www.xiaozhu.com/fangdong/1957903971/,2,30,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,bj,
4578029414,"39.941671,116.378955",238,http://bj.xiaozhu.com/fangzi/4578029414.html,整租,1,西城新街囗南大街大帽胡同2号,4577593113,http://www.xiaozhu.com/fangdong/4577593113/,2,17,1室1厅1卫1厨0阳台,1,1,1,1,0,4,5,房客独享整套房屋,2,bj,
4250888613,"40.012503,116.477527",238,http://bj.xiaozhu.com/fangzi/4250888613.html,单间出租,0,朝阳广顺北大街望京花园西区,3694389229,http://www.xiaozhu.com/fangdong/3694389229/,1,20,3室1厅1卫1厨2阳台,3,1,1,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
4077828329,"40.012503,116.477527",238,http://bj.xiaozhu.com/fangzi/4077828329.html,单间出租,0,朝阳广顺北大街望京花园西区,3694389229,http://www.xiaozhu.com/fangdong/3694389229/,1,15,3室0厅1卫1厨1阳台,3,0,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
4251107413,"40.012503,116.477527",238,http://bj.xiaozhu.com/fangzi/4251107413.html,单间出租,0,朝阳广顺北大街望京花园西区,3694389229,http://www.xiaozhu.com/fangdong/3694389229/,1,14,3室1厅1卫1厨1阳台,3,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
923265360,"40.133804,116.602859",238,http://bj.xiaozhu.com/fangzi/923265360.html,整租,0,顺义新国展顺畅大道14号院首航国际,619200200,http://www.xiaozhu.com/fangdong/619200200/,2,27,1室1厅1卫1厨0阳台,1,1,1,1,0,2,5,房客独享整套房屋,3,bj,
2207944892,"39.890567,116.45979",238,http://bj.xiaozhu.com/fangzi/2207944892.html,单间出租,0,朝阳劲松二区,2147367160,http://www.xiaozhu.com/fangdong/2147367160/,1,20,2室1厅1卫1厨1阳台,2,1,1,1,1,3,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
