"sight_name","sight_id","level","location","price","score","num_comment","city_id","address"
"上海尊木艺术馆","2065807593","0","121.418068,31.315603","0","4.5","67","shanghai","上海市宝山区沪太路2695号"
"石宝寨","2066016008","0","108.198595,30.425108","0","4.4","150","chongqing","重庆市忠县石宝镇玉印街17号"
"石壕溶洞群","2066034906","0","106.679631,28.551297","0","0","0","chongqing","重庆市綦江县石壕镇"
"富林山汽车公园","2066387573","0","119.218808,29.374358","0","5","12","hangzhou","杭州市建德市寿昌镇横山社区镍合金1号"
"北京常青藤儿童教育小镇","2066533034","0","116.318521,40.118962","0","5","12","beijing","北京昌平区沙河定泗路与回昌东路交汇处往东100米昌平区中海·瓦尔登湖(南一门)北京艾维常青藤儿童教育小镇"
"北京玩票","2066801004","0","116.403963,39.915119","0","0","0","beijing","详见票内包含各景区地址"
"长寿湖拦河大坝","2066978252","0","0.0,0.0","0","0","0","chongqing",""
"凤凰花果山","2067583708","0","108.702317,30.812229","0","3","4","chongqing","重庆市万州区太安镇凤凰花果山景区"
"上海虹之汤","206762437","0","121.335779,30.737324","0","0","0","shanghai","上海市金山区城河路230号易家中心6号楼"
"民光纺织","2068648170","0","121.544553,31.270065","0","0","0","shanghai","上海市杨浦区平凉路1398号916室"
"ICI真人密室逃脱","2068728424","0","120.112313,30.306749","0","0","0","hangzhou","浙江省杭州市拱墅区萍水街丰潭路路口丰元国际大厦B座1403"
"和敬公主府","2069750341","0","116.420106,39.939912","0","0","0","beijing","东城区张自忠路7号(原铁狮子胡同)"
"百里山水画廊恐龙游乐园","206991861","0","116.256924,40.666794","0","0","0","beijing","北京延庆区东北部千家店镇龙湾村硅化木景区"
"皇城根遗址公园","2070423153","0","116.413424,39.918678","0","0","0","beijing","北京市东城区南河沿大街"
"温都水城","2070886743","4A景区","116.377917,40.108253","49","4.7","1476","beijing","北京市昌平区北七家镇郑各庄村王府街55号"
"汤易得温泉馆","2071596332","0","121.137659,31.268559","0","5","3","shanghai","上海市青浦区白鹤镇鹤祥路192号"
"梅地亚君澜度假酒店","2071780843","0","119.015311,29.599742","0","0","0","hangzhou","浙江省杭州市淳安县千岛湖镇梦姑路488号"
"章涣墓","2072476599","0","120.554215,31.313182","0","0","0","suzhou","江苏省苏州市吴县枫桥镇章家山"
"成都动态版《清明上河图》文化巡展","2074139864","0","104.071387,30.575315","0","0","0","chengdu","四川省成都市武侯区成都环球中心"
"淮海公园","207496120","0","121.484231,31.228869","0","0","0","shanghai","上海市卢湾区淮海中路177号"
"探索视界——史密森尼摄影展","2075208752","0","121.468772,31.239982","0","0","0","shanghai","上海豫园旅游商业区内（湖心亭九曲桥北侧，豫园正门入园）"
"大圆祥博物馆景区","2076232509","0","106.213316,29.404387","0","5","1","chongqing","重庆市璧山区健龙镇龙江新石村5社（原璧山天福碗厂）"
"重元寺","2077229037","4A景区","120.788608,31.412087","15","4.9","1725","suzhou","江苏省苏州市工业园区唯亭镇阳澄半岛"
"77号真人密室逃脱","2077366867","0","104.187476,30.822418","0","0","0","chengdu","四川省成都市新都区静安路119号附12号"
"青峰苑","2077825690","0","115.75177121406,39.733274825726","0","0","0","beijing","北京市房山区霞云岭乡霞云岭森林公园东南部"
"白河蚂蚁山庄水上乐园","207831762","0","116.684209,40.668109","0","4.3","7","beijing","北京市怀柔区琉璃庙镇青石岭村"
